disassembled_line_length_80,disassembled_line_length_38,disassembled_line_length_73,disassembled_line_length_37,disassembled_line_length_69,disassembled_line_length_81,disassembled_line_length_72,disassembled_line_length_63,disassembled_line_length_64,disassembled_line_length_59
0.0,9.0,6.0,0.0,1.0,0.0,2.0,17.0,9.0,30.0
0.0,10.0,6.0,0.0,2.0,0.0,2.0,15.0,11.0,27.0
0.0,8.0,4.0,0.0,6.0,0.0,4.0,56.0,27.0,110.0
3.0,126.0,13.0,4.0,56.0,1.0,8.0,206.0,72.0,460.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
0.0,57.0,1.0,1.0,10.0,1.0,3.0,38.0,19.0,189.0
0.0,53.0,3.0,1.0,12.0,0.0,2.0,42.0,13.0,187.0
0.0,9.0,0.0,0.0,5.0,0.0,1.0,14.0,9.0,39.0
0.0,3.0,3.0,0.0,11.0,0.0,3.0,59.0,32.0,100.0
0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,2.0,15.0
3.0,195.0,63.0,2.0,97.0,6.0,31.0,896.0,369.0,1451.0
0.0,18.0,0.0,0.0,1.0,0.0,2.0,43.0,6.0,138.0
2.0,18.0,1.0,0.0,3.0,1.0,0.0,9.0,8.0,19.0
0.0,20.0,1.0,0.0,4.0,0.0,2.0,40.0,7.0,141.0
0.0,51.0,3.0,0.0,12.0,1.0,4.0,45.0,14.0,196.0
3.0,125.0,13.0,4.0,56.0,1.0,8.0,207.0,71.0,463.0
10.0,282.0,57.0,7.0,169.0,4.0,20.0,441.0,145.0,740.0
3.0,124.0,14.0,4.0,57.0,1.0,8.0,209.0,70.0,464.0
0.0,5.0,6.0,0.0,2.0,0.0,2.0,12.0,13.0,30.0
0.0,4.0,6.0,0.0,1.0,0.0,3.0,11.0,16.0,36.0
3.0,642.0,68.0,9.0,138.0,7.0,103.0,366.0,375.0,2016.0
0.0,4.0,0.0,0.0,3.0,0.0,1.0,10.0,1.0,27.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,976.0,438.0,1864.0
0.0,50.0,1.0,1.0,11.0,1.0,4.0,33.0,15.0,190.0
