disassembled_line_length_64,disassembled_line_length_62,disassembled_line_length_59,disassembled_line_length_73,disassembled_line_length_72,disassembled_line_length_63,disassembled_line_length_38,disassembled_line_length_69,disassembled_line_length_80,disassembled_line_length_37,disassembled_line_length_81
213.0,1219.0,1219.0,40.0,42.0,319.0,662.0,34.0,1.0,2.0,0.0
36.0,189.0,120.0,13.0,2.0,56.0,32.0,21.0,0.0,1.0,3.0
74.0,285.0,243.0,9.0,7.0,134.0,46.0,39.0,0.0,3.0,0.0
15.0,210.0,197.0,2.0,3.0,48.0,69.0,10.0,1.0,0.0,1.0
10.0,39.0,30.0,6.0,2.0,18.0,11.0,1.0,0.0,0.0,0.0
198.0,2837.0,1081.0,57.0,19.0,577.0,288.0,147.0,6.0,8.0,3.0
4.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
209.0,751.0,314.0,19.0,12.0,246.0,61.0,25.0,1.0,7.0,1.0
13.0,40.0,30.0,6.0,2.0,12.0,5.0,2.0,0.0,0.0,0.0
9.0,39.0,47.0,6.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0
18.0,205.0,204.0,2.0,3.0,44.0,72.0,11.0,0.0,1.0,1.0
18.0,211.0,204.0,1.0,4.0,44.0,71.0,11.0,0.0,0.0,1.0
16.0,53.0,37.0,6.0,2.0,14.0,10.0,4.0,0.0,0.0,0.0
16.0,85.0,144.0,0.0,3.0,47.0,16.0,4.0,0.0,0.0,0.0
9.0,39.0,43.0,6.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0
20.0,211.0,210.0,1.0,3.0,45.0,73.0,11.0,0.0,0.0,2.0
171.0,884.0,848.0,28.0,9.0,423.0,257.0,101.0,2.0,5.0,1.0
5.0,89.0,65.0,1.0,1.0,11.0,3.0,5.0,0.0,0.0,0.0
15.0,44.0,30.0,6.0,2.0,14.0,5.0,2.0,0.0,0.0,0.0
92.0,612.0,753.0,30.0,8.0,353.0,131.0,110.0,3.0,9.0,2.0
